index,entry,diagram,size,weyl_a,weyl_b,weyl_c
114,114,"(6, 3, 2, 2)",13,0.7853981633974483,0.29625858229810026,0.17430230186307177
115,115,"(6, 3, 1, 1, 1, 1)",13,0.7853981633974481,0.32740632158727134,-0.21876682400151815
116,116,"(6, 2, 2, 2, 1)",13,0.7853981633974482,0.1919577576576934,-0.11388424829161448
117,117,"(6, 2, 2, 1, 1, 1)",13,0.7853981633974482,0.21876682400151815,-0.1983913905839767
118,118,"(6, 2, 1, 1, 1, 1, 1)",13,0.7853981633974483,0.2923080784211143,0.23586192148882468
119,119,"(5, 5, 2, 1)",13,0.7853981633974481,0.2945088776930973,-0.17277186821845802
120,120,"(5, 4, 2, 2)",13,0.7853981633974483,0.23960411129399756,0.10317298789475671
121,121,"(5, 4, 1, 1, 1, 1)",13,0.7853981633974482,0.24645546477601687,-0.1919577576576934
122,122,"(5, 3, 3, 2)",13,0.7853981633974483,0.2563174678989764,0.03785179174596787
123,123,"(5, 3, 3, 1, 1)",13,0.7853981633974482,0.19012560334646622,-0.18068356195335333
124,124,"(5, 3, 1, 1, 1, 1, 1)",13,0.7853981633974482,0.30773985433519346,-0.22046888022486577
125,125,"(5, 2, 2, 2, 1, 1)",13,0.7853981633974481,0.19753680152689412,-0.12677970924397908
126,126,"(5, 2, 2, 1, 1, 1, 1)",13,0.7853981633974482,0.21482052797238538,-0.19145071477354936
127,127,"(5, 2, 1, 1, 1, 1, 1, 1)",13,0.7853981633974481,0.2829217914970421,-0.23678779113358228
128,128,"(4, 4, 3, 2)",13,0.7853981633974483,0.32175055439664224,1.1102230246251565e-16
129,129,"(4, 4, 3, 1, 1)",13,0.7853981633974482,0.2563174678989766,-0.14838253150088931
130,130,"(4, 4, 2, 2, 1)",13,0.7853981633974483,0.23960411129399772,-0.07269352566541443
131,131,"(4, 4, 2, 1, 1, 1)",13,0.7853981633974481,0.2962585822981003,-0.20272391347935148
132,132,"(4, 3, 3, 1, 1, 1)",13,0.7853981633974482,0.18181418384605408,-0.13631317225335327
133,133,"(4, 3, 2, 2, 2)",13,0.7853981633974483,0.2945088776930978,0.09780796606230752
134,134,"(4, 3, 1, 1, 1, 1, 1, 1)",13,0.7853981633974483,0.24924021856871637,0.2137395666424462
135,135,"(4, 2, 2, 2, 2, 1)",13,0.7853981633974483,0.16673658612591613,-0.046839194604181955
136,136,"(4, 2, 2, 2, 1, 1, 1)",13,0.7853981633974482,0.19251887368855947,-0.11419762281781409
137,137,"(4, 2, 2, 1, 1, 1, 1, 1)",13,0.7853981633974482,0.20864208963058495,-0.17140747238408238
138,138,"(4, 2, 1, 1, 1, 1, 1, 1, 1)",13,0.7853981633974482,0.2620014362062939,-0.23740242723163885
139,139,"(3, 3, 3, 2, 1, 1)",13,0.7853981633974482,0.3093443648834322,-0.10742743171114011
