kind,partition,n,k,giv_gates,giv_depth,cs_gates,cs_depth
random,"(7, 5, 4, 2, 1, 1)",20,6,15,9,15,7
random,"(6, 5, 2, 1)",14,5,10,7,10,7
random,"(12, 8, 2)",22,4,6,5,6,3
random,"(24, 14, 7, 7, 3, 2)",57,6,15,9,15,7
random,"(20, 14, 9, 5, 1)",49,6,15,9,15,7
random,"(8, 6, 3)",17,4,6,5,6,3
random,"(17, 10, 9, 6, 6, 3, 3, 1, 1)",56,7,21,11,21,11
random,"(23, 4)",27,3,3,3,3,3
random,"(38, 3, 1, 1, 1, 1, 1)",46,4,6,5,6,3
random,"(32, 14, 4, 2)",52,5,10,7,10,7
random,"(23, 2, 1, 1, 1)",28,4,6,5,6,3
random,"(14, 9, 2)",25,4,6,5,6,3
random,"(9, 6, 1, 1)",17,4,6,5,6,3
random,"(17, 11, 3)",31,4,6,5,6,3
