diagram,gate_index,qubits,theta,phi,lambda
"[4, 2, 1, 1, 1, 1]",6,[0],0.14706597030967714,3.141592639391064,0.0
"[4, 2, 1, 1, 1, 1]",7,[1],0.5993008277604472,4.356146776629544e-09,3.141592648314284
"[3, 3, 2, 1, 1]",0,[0],0.8860771238043326,6.283185305874474,1.1754193174340344e-09
"[3, 3, 2, 1, 1]",1,[1],0.18954417304143398,-3.1415926536754673,-3.1415926529120504
"[3, 3, 2, 1, 1]",3,[0],1.3440103122752938,-3.1415926514324983,3.141592653589793
"[3, 3, 2, 1, 1]",4,[1],0.9878883615030151,-8.671936502224753e-10,3.1415926551652085
"[3, 3, 2, 1, 1]",6,[0],0.3551086286145203,3.1415926513702574,0.0
"[3, 3, 2, 1, 1]",7,[1],0.6542686069760961,2.4809457688828018e-09,-3.1266123139436832e-09
"[3, 2, 2, 2, 1]",0,[0],1.0305884176547564,-4.350704930336795e-09,1.202385128960212e-08
"[3, 2, 2, 2, 1]",1,[1],0.2532701077781822,-1.2027070006581653e-08,-3.141592651097596
"[3, 2, 2, 2, 1]",3,[0],1.5825686956280953,-3.1415925732412218,3.141592653589793
"[3, 2, 2, 2, 1]",4,[1],1.218115478626581,3.1415926483725416,1.5104305584046074e-08
"[3, 2, 2, 2, 1]",6,[0],2.990521765394876,8.101026738316364e-08,-3.1415926535897936
"[3, 2, 2, 2, 1]",7,[1],2.5422507041215154,3.1415926790583932,-3.1415926227451956
"[3, 2, 2, 1, 1, 1]",0,[0],2.1609519841968727,3.1415926487760615,3.1415926434422765
